filters,kernel_size,dropout_rate,l2_reg,val_loss
32,3,0.2,0.0001,0.11433162540197372
32,3,0.2,0.001,0.0962403193116188
32,3,0.2,0.01,0.19668357074260712
32,3,0.4,0.0001,0.2055118829011917
32,3,0.4,0.001,0.09809363633394241
32,3,0.4,0.01,0.11656578630208969
32,5,0.2,0.0001,0.08917517215013504
32,5,0.2,0.001,0.08938360214233398
32,5,0.2,0.01,0.08777391165494919
32,5,0.4,0.0001,0.21936887502670288
32,5,0.4,0.001,0.10571587830781937
32,5,0.4,0.01,0.1307648867368698
64,3,0.2,0.0001,0.07728733122348785
64,3,0.2,0.001,0.09201670438051224
64,3,0.2,0.01,0.10680431872606277
64,3,0.4,0.0001,0.19572608172893524
64,3,0.4,0.001,0.11159738153219223
64,3,0.4,0.01,0.11815601587295532
64,5,0.2,0.0001,0.08584035187959671
64,5,0.2,0.001,0.14549213647842407
64,5,0.2,0.01,0.09184788167476654
64,5,0.4,0.0001,0.09404458850622177
64,5,0.4,0.001,0.12490268051624298
64,5,0.4,0.01,0.21848738193511963
128,3,0.2,0.0001,0.08887235075235367
128,3,0.2,0.001,0.09148500114679337
128,3,0.2,0.01,0.0955062285065651
128,3,0.4,0.0001,0.07815301418304443
128,3,0.4,0.001,0.10053187608718872
128,3,0.4,0.01,0.20121484994888306
128,5,0.2,0.0001,0.09362462908029556
128,5,0.2,0.001,0.09245806187391281
128,5,0.2,0.01,0.12627476453781128
128,5,0.4,0.0001,0.09038113057613373
128,5,0.4,0.001,0.1317267119884491
128,5,0.4,0.01,0.14352473616600037
